driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
AJ Allmendinger,3774,2/19/2023,Cup,Daytona International Speedway,29,22,6,1,35,22.5,24,338,314,61,18.047337278106507,8,56,26.41509433962264,1,0.4716981132075472,212,59.78,running,33,8,,Kaulig Racing,Chevrolet,superspeedway
Alex Bowman,4045,2/19/2023,Cup,Daytona International Speedway,1,17,5,1,33,16.44,-6,367,373,156,42.50681198910082,4,91,42.924528301886795,12,5.660377358490566,212,83.73,running,29,2,,Hendrick Motorsports,Chevrolet,superspeedway
Aric Almirola,40,2/19/2023,Cup,Daytona International Speedway,4,13,21,1,34,8.46,-22,358,380,287,80.16759776536313,0,179,84.83412322274881,16,7.5829383886255926,211,99.65,accident,8,13,,Stewart-Haas Racing,Ford,superspeedway
Austin Cindric,4180,2/19/2023,Cup,Daytona International Speedway,6,20,23,1,36,9.52,-36,374,410,299,79.94652406417113,1,182,86.66666666666667,0,0,210,97.44,accident,13,5,,Team Penske,Ford,superspeedway
Austin Dillon,3873,2/19/2023,Cup,Daytona International Speedway,27,31,33,2,38,23.97,8,283,275,75,26.501766784452297,6,47,23.26732673267327,0,0,202,51.63,accident,27,27,,Richard Childress Racing,Chevrolet,superspeedway
BJ McLeod,3973,2/19/2023,Cup,Daytona International Speedway,32,38,30,17,39,35.4,2,93,91,0,0,3,0,0,0,0,204,31.82,running,36,36,,Live Fast Motorsports,Chevrolet,superspeedway
Brad Keselowski,1816,2/19/2023,Cup,Daytona International Speedway,10,1,22,1,35,8.57,-5,284,289,203,71.47887323943662,6,172,81.51658767772511,42,19.90521327014218,211,105.22,accident,1,18,,RFK Racing,Ford,superspeedway
Bubba Wallace,4025,2/19/2023,Cup,Daytona International Speedway,15,34,20,1,36,22.6,-31,235,266,94,40,4,50,23.696682464454977,5,2.3696682464454977,211,65.09,accident,34,29,,23XI Racing,Toyota,superspeedway
Chase Briscoe,4228,2/19/2023,Cup,Daytona International Speedway,30,27,35,1,33,24.31,4,313,309,54,17.252396166134186,4,24,13.186813186813186,5,2.7472527472527473,182,52.83,accident,22,25,,Stewart-Haas Racing,Ford,superspeedway
Chase Elliott,4062,2/19/2023,Cup,Daytona International Speedway,8,19,38,2,31,24.88,-11,250,261,126,50.4,4,59,50,0,0,118,64.28,accident,17,39,,Hendrick Motorsports,Chevrolet,superspeedway
Chris Buescher,3989,2/19/2023,Cup,Daytona International Speedway,9,14,4,1,33,9.21,23,330,307,232,70.3030303,3,180,84.90566037735849,32,15.09433962264151,212,109.75,running,3,9,,RFK Racing,Ford,superspeedway
Christopher Bell,4153,2/19/2023,Cup,Daytona International Speedway,5,30,3,1,32,15.28,-21,340,361,162,47.64705882352941,3,106,50,20,9.433962264150944,212,86.58,running,26,10,,Joe Gibbs Racing,Toyota,superspeedway
Cody Ware,4125,2/19/2023,Cup,Daytona International Speedway,35,33,14,4,40,27.92,4,271,267,6,2.2140221402214024,9,10,4.716981132075472,0,0,212,55.1,running,21,23,,Rick Ware Racing,Ford,superspeedway
Conor Daly,4288,2/19/2023,Cup,Daytona International Speedway,34,39,29,29,40,36.45,-6,47,53,0,0,1,0,0,0,0,206,30.77,running,39,35,,The Money Team Racing,Chevrolet,superspeedway
Corey LaJoie,4096,2/19/2023,Cup,Daytona International Speedway,12,29,16,1,33,20.2,-48,275,323,148,53.81818181818182,4,74,34.905660377358494,0,0,212,61.75,running,9,6,,Spire Motorsports,Chevrolet,superspeedway
Daniel Suarez,4113,2/19/2023,Cup,Daytona International Speedway,24,32,7,1,33,21.41,17,304,287,106,34.86842105263158,4,66,31.132075471698112,3,1.4150943396226414,212,70.06,running,30,24,,Trackhouse Racing,Chevrolet,superspeedway
Denny Hamlin,1361,2/19/2023,Cup,Daytona International Speedway,18,23,17,1,27,11.49,-5,359,364,257,71.58774373259052,6,163,76.88679245283019,6,2.830188679245283,212,93.75,running,11,11,,Joe Gibbs Racing,Toyota,superspeedway
