driver,team,race_id,year,finish,momentum,finish_baseline,finish_track,start_baseline,start_track,mid_baseline,mid_track,best_baseline,best_track,worst_baseline,worst_track,avg_baseline,avg_track,green_flag_passing_diff_baseline,green_flag_passing_diff_track,green_flag_passes_baseline,green_flag_passes_track,pct_quality_passes_baseline,pct_quality_passes_track,fastest_lap_baseline,fastest_lap_track,pct_top_15_laps_baseline,pct_top_15_laps_track,pct_laps_led_baseline,pct_laps_led_track,rating_baseline,rating_track
AJ Allmendinger,Kaulig Racing,21,2022,7,70.71249999999999,21.0,20.333333333333332,23.6,19.0,19.6,20.0,10.3,5.333333333333333,31.3,32.333333333333336,20.029999999999998,15.296666666666667,-1.1,-9.0,59.2,54.333333333333336,22.254072148835025,28.108331455187436,2.1,1.3333333333333333,30.275187579896702,50.1934908860905,0.29411764705882354,0.9803921568627452,64.02700000000002,79.34333333333335
AJ Allmendinger,Kaulig Racing,24,2022,2,79.675,19.727272727272727,17.0,23.272727272727273,19.25,19.0,18.25,9.454545454545455,4.25,31.0,31.25,19.172727272727272,14.1225,-1.9090909090909092,-9.25,61.72727272727273,62.5,24.097223374594012,31.713432499436554,2.090909090909091,1.5,33.865392514493834,55.086978629684154,0.5845044148737719,1.6073871409028728,67.05818181818182,83.85000000000001
AJ Allmendinger,Kaulig Racing,31,2022,4,88.13,17.384615384615383,14.0,21.153846153846153,16.6,17.846153846153847,16.0,8.384615384615385,3.8,30.846153846153847,32.0,18.165384615384614,13.728,-0.7692307692307693,-3.8,67.61538461538461,69.4,26.652517620406492,31.55631300985852,2.5384615384615383,2.6,38.988665460981956,58.73624957041399,0.4945806587393455,1.2859097127222983,71.15076923076924,88.352
AJ Allmendinger,Kaulig Racing,34,2022,24,94.2525,15.125,19.333333333333332,19.5625,25.0,16.25,25.0,7.25,15.333333333333334,28.5625,31.0,16.453125,23.349999999999998,1.3125,0.3333333333333333,71.6875,53.0,33.28241791619848,16.828478964401295,4.3125,5.0,47.642710162703274,20.333333333333332,1.7411324995114323,0.0,76.31312499999999,56.50999999999999
AJ Allmendinger,Kaulig Racing,35,2022,12,86.72,15.647058823529411,19.6,19.647058823529413,23.4,16.941176470588236,15.4,8.058823529411764,8.8,28.764705882352942,29.6,16.971176470588233,19.492,1.1764705882352942,1.6,69.47058823529412,74.6,31.324628627010338,27.64314542455758,4.0588235294117645,1.0,44.84019780019132,30.434280628139106,1.6387129407166423,0.0,74.81411764705881,62.734
AJ Allmendinger,Kaulig Racing,39,2023,20,64.3325,16.095238095238095,18.333333333333332,19.428571428571427,22.166666666666668,18.095238095238095,15.166666666666666,7.0476190476190474,7.5,29.61904761904762,29.5,17.771428571428572,18.865000000000002,1.7619047619047619,2.3333333333333335,86.61904761904762,78.83333333333333,31.636531077768943,30.202621187131317,4.523809523809524,3.6666666666666665,43.81723725463618,34.97728513883387,1.3643014726620613,0.053418803418803416,72.81761904761905,65.88666666666667
AJ Allmendinger,Kaulig Racing,41,2023,34,58.8825,16.26086956521739,12.333333333333334,20.0,15.0,18.347826086956523,13.666666666666666,7.173913043478261,3.3333333333333335,29.565217391304348,28.333333333333332,18.098695652173916,12.003333333333332,2.0434782608695654,-4.666666666666667,93.43478260869566,62.166666666666664,29.774745831548067,36.55333776462569,4.478260869565218,6.166666666666667,40.954206231639326,65.61354130867832,1.2456665619957952,4.643019998697153,71.68695652173913,93.45666666666666
AJ Allmendinger,Kaulig Racing,42,2023,27,68.7525,17.0,20.5,19.458333333333332,24.0,17.708333333333332,25.75,6.958333333333333,16.75,29.666666666666668,31.25,17.86583333333333,23.8275,1.625,0.0,91.08333333333333,48.25,30.898996286765097,12.62135922330097,4.375,3.75,43.06722541643214,15.25,1.1937637885793035,0.0,72.51166666666666,55.08999999999999
AJ Allmendinger,Kaulig Racing,43,2023,16,62.595000000000006,17.4,21.8,19.68,24.2,18.04,25.8,7.6,18.0,29.88,32.0,18.2748,24.68,1.6,0.2,91.36,58.2,29.663036435294494,10.097087378640776,4.28,3.4,41.34453639977485,12.2,1.1460132370361316,0.0,71.18199999999999,51.92599999999999
AJ Allmendinger,Kaulig Racing,44,2023,27,59.095000000000006,17.346153846153847,20.833333333333332,20.03846153846154,25.0,18.692307692307693,27.333333333333332,7.884615384615385,17.5,30.076923076923077,32.5,18.709230769230768,25.495,1.7307692307692308,1.0,91.23076923076923,63.166666666666664,28.56585671225869,8.603633421594585,4.115384615384615,2.8333333333333335,39.76974653824505,10.233333333333333,1.1019358048424341,0.0,70.05961538461537,50.271666666666654
AJ Allmendinger,Kaulig Racing,46,2023,18,50.1775,18.107142857142858,18.571428571428573,19.785714285714285,22.142857142857142,18.285714285714285,16.285714285714285,7.75,8.142857142857142,30.392857142857142,29.0,18.873571428571427,19.252857142857145,2.5,1.5714285714285714,102.89285714285714,78.0,28.47246172649383,26.475045166269116,4.178571428571429,3.142857142857143,39.01448372057069,30.070660808500232,1.023226104496546,0.045787545787545784,69.32107142857141,64.47428571428573
AJ Allmendinger,Kaulig Racing,47,2023,14,55.5225,18.103448275862068,10.0,20.103448275862068,18.0,18.379310344827587,15.333333333333334,7.551724137931035,3.6666666666666665,30.379310344827587,26.666666666666668,18.86620689655172,14.229999999999999,2.7241379310344827,14.333333333333334,102.13793103448276,128.33333333333334,28.08665099859004,48.72527257791716,4.137931034482759,4.333333333333333,37.85928719438387,59.06730977422134,0.987942445720803,0.0,69.02206896551724,80.32333333333334
AJ Allmendinger,Kaulig Racing,48,2023,23,61.5225,17.966666666666665,18.5,20.333333333333332,23.0,18.4,16.875,7.466666666666667,7.375,30.366666666666667,29.125,18.868999999999996,19.17875,3.1,2.5,102.7,78.375,27.37451893449138,25.32615834764597,4.0,3.125,37.33389023047619,27.001051265081816,0.9550110308634429,0.04006410256410256,68.92133333333332,63.99625
AJ Allmendinger,Kaulig Racing,49,2023,14,55.42,18.129032258064516,11.0,20.64516129032258,20.25,18.774193548387096,16.25,7.935483870967742,4.0,30.451612903225808,27.5,19.162258064516127,15.41,2.935483870967742,14.25,100.19354838709677,126.0,26.49146993660456,38.22462670234543,3.903225806451613,3.25,36.129571190783416,49.824826899954395,0.9242042234162351,0.0,67.99612903225805,76.7425
AJ Allmendinger,Kaulig Racing,50,2023,14,56.862500000000004,18.0,19.0,20.84375,23.77777777777778,18.8125,18.333333333333332,7.90625,9.0,30.5625,29.555555555555557,19.210625,20.154444444444447,2.78125,2.0,102.65625,72.44444444444444,26.13498021616947,22.512140753463083,3.8125,2.888888888888889,35.38333459107142,24.000934457850505,0.8953228414344777,0.035612535612535606,67.76375,61.35666666666667
AJ Allmendinger,Kaulig Racing,51,2023,6,59.4075,17.87878787878788,15.428571428571429,20.545454545454547,13.857142857142858,18.666666666666668,12.142857142857142,7.757575757575758,3.142857142857143,30.545454545454547,28.857142857142858,19.106060606060606,12.075714285714286,2.4242424242424243,-5.142857142857143,101.0909090909091,58.57142857142857,26.056023596428147,39.43954047778727,3.696969696969697,5.571428571428571,36.169199374008144,69.33541635981952,0.8681918462394935,3.9797314274547024,67.85666666666667,93.17428571428572
AJ Allmendinger,Kaulig Racing,52,2023,10,67.95,17.529411764705884,18.5,20.08823529411765,22.5,18.5,17.9,7.588235294117647,8.4,30.352941176470587,29.6,18.79176470588235,19.715,2.676470588235294,0.9,99.70588235294117,70.3,26.760258196533204,22.61386785458736,3.735294117647059,2.6,37.85941008760684,27.73252825486381,0.842656791938332,0.03205128205128205,68.80705882352942,62.30400000000001
AJ Allmendinger,Kaulig Racing,53,2023,17,80.4675,17.314285714285713,14.25,20.057142857142857,12.75,18.17142857142857,12.25,7.485714285714286,3.0,30.228571428571428,28.25,18.604857142857142,11.618749999999999,3.342857142857143,-3.125,100.17142857142858,58.0,27.301098110129793,40.75959791806386,3.7714285714285714,5.5,39.139617418437126,72.37303476938753,0.8185808835972368,3.4822649990228647,69.42142857142858,94.04875
